problem,method,generation,generated_losses,unique_family_signatures,dominant_signature_share,top_family_signatures,extra_regularizer_share,advantage_heavy_share,rankprob_or_probabilistic_share,advantage_blend_tanh_relu_share,logsigmoid_backbone_share,hf_candidates,hf_negative_improvement_candidates,hf_best_score
TSP100,Family-disabled,0,16,14,0.1875,pairwise_margin|cost_gap|logsigmoid|sum|clamp_stabilized:3; pairwise_logsigmoid|advantage_gap|logsigmoid|weighted_avg|none:1; pairwise_weighted_margin|advantage_gap|tanh|mean|relu_margin_saturation:1; preference|advantage|logarithmic|pairwise|pairwise:1,0.1875,0.5625,0.3125,0.0,0.8125,7,3,-0.01138016357421856
TSP100,Family-disabled,1,16,16,0.0625,pairwise_margin|cost_gap|logsigmoid|weighted_avg|weight_scale_normalization:1; pairwise_rank_blend|advantage_regret_ratio|relu_tanh_sqrt|weighted_sum_norm|epsilon_stabilized:1; pairwise_margin|cost_gap|logsigmoid|weighted_avg|scale_invariance:1; pairwise_rank_weighted|advantage_gap|tanh_mul|weighted_mean|rank_normalization:1,0.1875,0.5625,0.25,0.0,0.875,5,1,-0.007318238830566148
TSP100,Family-disabled,2,16,14,0.1875,pairwise_margin|advantage_gap|logsigmoid|weighted_avg|scale_invariance:3; pairwise_weighted_margin|advantage_gap|tanh|weighted_sum_normalized|relu_margin_saturation:1; pairwise_rank_bandpass|advantage_gap|tanh|weighted_avg_normalized|bandpass_weighting:1; pairwise_rank_gap_margin|advantage_gap|tanh_hinge|weighted_avg|positive_reweighting:1,0.5625,0.875,0.125,0.0,0.6875,9,3,-0.012065986251831085
TSP100,Family-disabled,3,16,14,0.1875,pairwise_margin|advantage_gap|logsigmoid|weighted_avg|scale_invariance:3; pairwise_rank_blend|advantage_rank_blend|sigmoid_tanh|weighted_softmax_sum|none:1; pairwise_rank_weight|advantage_gap_rank|exp_decay_margin|weighted_avg_rank_scaled|none:1; pairwise_margin|advantage_gap|tanh_mul_advantage|weighted_avg|scale_invariance:1,0.5,0.9375,0.0625,0.0,0.8125,10,4,-0.011103067398070987
TSP100,Family-disabled,4,16,16,0.0625,pairwise_margin|advantage_gap_entropy_reg|logsigmoid|weighted_sum|none:1; pairwise_margin|advantage_gap_entropy_reg_delta_rank_interaction|logsigmoid|weighted_avg|none:1; pairwise_margin|advantage_gap_squared_entropy_reg_tanh|logsigmoid|weighted_avg|none:1; pairwise_margin|advantage_gap_entropy_reg_delta_rank_advantage_poly_interaction|logsigmoid|weighted_avg|none:1,0.625,0.9375,0.375,0.0,1.0,9,5,-0.013122932052612057
TSP100,Family-disabled,5,16,16,0.0625,pairwise_margin|advantage_gap_entropy_reg|softplus|weighted_avg|none:1; pairwise_margin|advantage_gap_entropy_reg|logsigmoid|weighted_avg|none:1; pairwise_rank_blend|cost_gap_advantage_w|sigmoid|weighted_median|rank_alignment_l1_reg:1; pairwise_margin|advantage_gap_entropy_reg_interaction_exp_decay|logsigmoid|weighted_mean|none:1,0.75,1.0,0.1875,0.0,0.9375,9,6,-0.009978086853027257
TSP100,Family-disabled,6,16,16,0.0625,pairwise_margin|advantage_gap|logsigmoid|weight_norm_avg|scale_invariance:1; pairwise_margin|advantage_gap_entropy_zscore_reg|logsigmoid_tanh_adv|weighted_avg_clamp_norm_entropy_zscore_reg_eps_stable|normalization_entropy_zscore_eps:1; pairwise_bayesian_ranking|advantage_gap_entropy_gap_blend|softmax|weighted_softmax_blend|none:1; pairwise_ranked_margin|advantage_gap_delta_rank_advantage_w_exp|hinge_relu|weighted_softmax_avg|scale_invariance_exp_reg:1,1.0,1.0,0.1875,0.0,0.8125,7,5,-0.006524695968628258
TSP100,Family-disabled,7,16,15,0.125,pairwise_margin|advantage_gap_delta_rank_entropy_reg|logsigmoid|weighted_avg_exp_norm|none:2; pairwise_margin|advantage_gap_delta_rank_entropy_reg_poly|logsigmoid|weighted_avg_sqrtnorm|none:1; pairwise_margin|advantage_gap_delta_rank_entropy_reg|softplus|weighted_softplus_poly_norm|weight_normalization_scale_invariant:1; pairwise_margin|advantage_gap_entropy_cov_exp_scaled_variant|logsigmoid|weighted_avg_norm_entropy_cov_reg_exp_scaled|nonlinear_entropy_covariance_scaled:1,1.0,1.0,0.1875,0.0,0.6875,12,10,-0.013935184860229377
TSP100,Family-disabled,8,16,15,0.125,pairwise_rankprob|advantage_w_entropy_reg|logsigmoid|weighted_sum|entropy_regularization:2; pairwise_margin|advantage_gap_entropy_gap|tanh|weighted_mean|entropy_regularization:1; pairwise_contrastive|advantage_gap_entropy_reg|logsigmoid|weighted_mean_exp_norm|entropy_regularization:1; pairwise_rankprob|advantage_gap_entropy_reg|logsigmoid|weighted_mean|entropy_regularization:1,0.9375,0.9375,0.5625,0.0,0.625,9,2,-0.004812698745727317
TSP100,Family-disabled,9,16,16,0.0625,pairwise_rankprob|advantage_w_cost_gap|powered_exponential|weighted_logsumexp_norm|positivity_weight_clamp:1; pairwise_margin|advantage_gap|relu|weighted_sum_inverse_weight_norm|none:1; pairwise_rankprob|advantage_blend_with_advantage_signals|softmax_probability|weighted_sum_softmax_norm_interaction_entropy_reg|none:1; pairwise_margin|advantage_gap_with_cost|logsigmoid|weighted_median_norm|none:1,0.8125,1.0,0.375,0.0,0.625,9,7,-0.010746623229980212
FFSP100,Family-aware,0,16,15,0.125,pairwise_margin|cost_gap|logsigmoid|weighted_sum|clamp_stabilized:2; pairwise_ranking|advantage_gap|tanh|mean|none:1; pairwise_rank_gap|advantage_gap|tanh_squared|mean|none:1; pairwise|advantage|logsigmoid|mean|cost_gap:1,0.375,0.8125,0.1875,0.0,0.75,2,0,0.1135002136230483
FFSP100,Family-aware,1,16,15,0.125,pairwise_margin|advantage_gap|logsigmoid|mean|normalization_injected:2; pairwise_softmax|advantage_gap|log|mean|margin:1; pairwise_rank_gap|advantage_gap|tanh_squared|sum|none:1; pairwise_margin|advantage_gap|logsigmoid|mean|scale_adaptive:1,0.1875,1.0,0.375,0.0,0.5,4,0,0.070000076293951
FFSP100,Family-aware,2,16,15,0.125,pairwise_margin|advantage_gap|softplus|mean|normalization_injected:2; pairwise_margin|advantage_gap|logsigmoid|max|normalization_injected:1; pairwise_contrastive|advantage_gap|softplus_exponential|mean|margin_exp_smooth:1; pairwise_rank_gap|delta_rank|sigmoid|mean_weighted|positive_weighting:1,0.3125,1.0,0.3125,0.0,0.6875,4,1,-0.06449928283691264
FFSP100,Family-aware,3,16,15,0.125,pairwise_margin|advantage_gap|logsigmoid|mean|normalization_injected:2; pairwise_ranking|advantage_gap|relu|sum|margin_thresholded:1; contrastive|advantage_gap|exponential_decay|weighted_mean|normalization_mean_abs:1; probabilistic_ranking|advantage_gap|exponential|log_mean_exp|none:1,0.4375,1.0,0.3125,0.0,0.5,8,4,-0.06699943542480469
FFSP100,Family-aware,4,16,10,0.3125,pairwise_margin|advantage_gap|logsigmoid|mean|normalization_injected:5; pairwise_margin|advantage_gap|logsigmoid|sum|normalization_injected:3; pairwise_margin|advantage_gap|logsigmoid|mean|clamp_stabilized:1; pairwise_ranking|advantage_gap|softmax_linear|weighted_mean|monotonicity_normalized:1,0.125,1.0,0.25,0.0,0.8125,9,3,-0.11900005340576314
FFSP100,Family-aware,5,16,11,0.3125,pairwise_margin|advantage_gap|logsigmoid|mean|normalization_injected:5; pairwise_margin|advantage_gap|logsigmoid|sum|normalization_injected:2; pairwise_ratio|advantage_component|tanh|mean_weighted|soft_asymmetric_clipping:1; pairwise_margin|advantage_gap|logsigmoid|mean|scale_invariance_with_shift:1,0.1875,1.0,0.1875,0.0,0.8125,8,5,-0.1575002670288086
FFSP100,Family-aware,6,16,16,0.0625,pairwise_margin|advantage_gap|logsigmoid|mean|zscore_normalization_clipping:1; pairwise_combined|advantage_gap|logsigmoid|mean|normalization_clamping:1; pairwise_penalty|advantage_gap|softplus|mean|inverse_norm_regularization:1; pairwise_logsigmoid|advantage_gap|logsigmoid|weighted_sum|none:1,0.375,1.0,0.3125,0.0,0.875,6,2,-0.03450031280517152
FFSP100,Family-aware,7,16,16,0.0625,pairwise|rank_gap|softplus|weighted_mean|normalization_by_weighted_rank_gap:1; pairwise_margin|advantage_gap|logsigmoid|sum|weight_clamping:1; pairwise_margin|advantage_gap|logsigmoid|weighted_sum|dynamic_margin_sign_based:1; pairwise_margin|advantage_gap|logsigmoid|weighted_sum_normalized|symmetric_clipping_debiased_shift_offset:1,0.125,1.0,0.5,0.0,0.875,6,3,-0.05300064086913636
FFSP100,Family-aware,8,16,16,0.0625,pairwise_margin|advantage_gap|logsigmoid|weighted_median|normalization_injected:1; pairwise_softplus|advantage_gap|softplus|weighted_sum_normalized|none:1; pairwise_margin|advantage_gap|softplus|weighted_sum_normalized|normalization_rank_margin:1; pairwise_margin|advantage_gap|logsigmoid|weighted_sum_normalized|clipping_normalization_shift_inverted:1,0.125,1.0,0.1875,0.0,0.8125,7,3,-0.1929994583129826
FFSP100,Family-aware,9,16,15,0.125,pairwise_margin|advantage_gap|logsigmoid|weighted_mean|normalization_tanh_margin:2; pairwise_margin|advantage_gap|logsigmoid|weighted_mean|symmetry_clipping:1; pairwise_margin|advantage_gap|logsigmoid|weighted_mean|normalization_sigmoid_scaled_delta_regret_norm_margin:1; pairwise_contrastive|advantage_gap|tanh|weighted_mean|normalization_clamped_advantage_scaling:1,0.0,1.0,0.1875,0.0,0.875,6,1,-0.04249973297118714
FFSP100,Family-disabled,0,16,14,0.125,pairwise_margin|cost_gap|logsigmoid|sum|clamp_stabilized:2; pairwise_margin|advantage_gap|logsigmoid|mean|normalization:2; pairwise_margin_rank_blend|advantage_gap|tanh_relu|mean|relu_weighted:1; pairwise_margin|cost_gap|logsigmoid|weighted_mean|clamp_stabilized:1,0.1875,0.6875,0.1875,0.1875,0.8125,0,0,
FFSP100,Family-disabled,1,16,16,0.0625,pairwise_blended_margin|advantage_gap|softplus_sigmoid|mean|none:1; pairwise_ranking|advantage_gap|logsigmoid|sum|relu_weighted:1; pairwise_margin_advantage_blend|advantage_combined_max|tanh_relu|mean|weighted:1; pairwise_margin_combined|advantage_cost_gap|softplus_sigmoid|mean_weighted|nonneg_smooth:1,0.125,0.9375,0.25,0.0625,0.5,0,0,
FFSP100,Family-disabled,2,16,15,0.125,pairwise_margin_advantage_blend|advantage_combined_min_abs|tanh_relu|mean|weighted:2; pairwise_rank|advantage_gap|tanh|sum|clamp_bounded:1; pairwise_margin_advantage_weighted|advantage_gap|logsigmoid|mean|weighted:1; preference_probabilistic|regret_weighted|sigmoid_logprob_gap|mean|weighted:1,0.1875,0.9375,0.375,0.5,0.125,8,0,1.7579986572265653
FFSP100,Family-disabled,3,16,16,0.0625,pairwise_probabilistic|advantage_combined_product|sigmoid|mean|weighted:1; pairwise_logistic_regret_weighted|delta_regret|sigmoid_log|mean|weighted:1; pairwise_exponential_penalty|cost_gap|exponential|mean|weighted:1; pairwise_margin_advantage_blend|advantage_gap|tanh_relu|sum|weight_normalization:1,0.0625,0.8125,0.1875,0.4375,0.0625,6,0,2.4119998931884794
FFSP100,Family-disabled,4,16,16,0.0625,pairwise_margin_advantage_blend|advantage_combined_max|tanh_relu|sum_normalized|weighted:1; pairwise_margin_advantage_blend|advantage_diff_weighted|relu_relu|mean|weighted:1; pairwise_margin_advantage_cost_blend|advantage_cost_gap_weighted|tanh_relu|mean|weighted:1; pairwise_margin_advantage_blend|advantage_gap_abs_weighted|logsigmoid|mean|weighted:1,0.0,0.9375,0.125,0.625,0.1875,8,0,1.0399997711181612
FFSP100,Family-disabled,5,16,16,0.0625,pairwise_margin_advantage_gap|advantage_gap_abs|relu|mean|weighted:1; pairwise_margin_advantage_gap|advantage_gap|softplus|mean|weighted:1; pairwise_probability_modeling|advantage_gap|sigmoid|sum|none:1; pairwise_probabilistic_bilinear|advantage_weighted|softmax|sum|none:1,0.25,1.0,0.375,0.3125,0.125,4,0,1.438999938964841
FFSP100,Family-disabled,6,16,16,0.0625,pairwise_margin_advantage_blend|advantage_combined_min_abs|tanh_relu|mean|weight_normalization:1; pairwise_regret_alignment|regret_gap|linear_relu|mean|weighted:1; pairwise_margin_advantage_blend|advantage_gap_direct_weighted_mean|relu_softplus|weighted_mean|weighted:1; pairwise_softplus_regret_penalty|delta_regret|softplus_linear|mean|weighted:1,0.25,0.9375,0.25,0.5625,0.125,5,0,2.329000091552743
FFSP100,Family-disabled,7,16,15,0.125,pairwise_margin_advantage_blend|advantage_gap_weighted|softplus|mean|weighted:2; pairwise_margin_advantage_blend|advantage_combined_sum_abs|tanh_relu|sum|weighted:1; pairwise_margin_advantage_blend|advantage_combined_max|tanh_relu|logsumexp_normalized|weighted:1; pairwise_margin_rank_blend|advantage_gap|tanh_relu|mean|weight_normalization:1,0.125,0.875,0.25,0.5,0.1875,4,0,1.7310001373291044
FFSP100,Family-disabled,8,16,16,0.0625,pairwise_margin_rank_blend|advantage_gap|tanh_relu|sum|weighted:1; pairwise_cost_bandpass_margin|cost_gap_bandpass|softplus|weighted_mean_normalized|weighted:1; pairwise_margin_advantage_weighted|advantage_gap_weighted|logsigmoid|mean|weighted:1; pairwise_margin_rank_blend|advantage_gap|tanh_relu|mean|scale_invariance:1,0.125,1.0,0.1875,0.375,0.1875,4,0,1.8670001983642663
FFSP100,Family-disabled,9,16,16,0.0625,pairwise_cost_gap_softplus_weighted|cost_gap|softplus_exp_decay|mean|weighted:1; pairwise_exponential_cost_gap_inverse_margin|cost_gap|exp_inverse_margin|mean|weighted:1; pairwise_margin_advantage_blend|advantage_combined_max|tanh_relu|mean|weight_normalization:1; pairwise_margin_advantage_weighted|advantage_gap_weighted|sigmoid_scaled_margin|mean|relu_weighted:1,0.0625,0.9375,0.1875,0.5,0.125,8,0,1.0620002746582031
